original
,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0854458,0.1109223,0.1343302,0.0969048,0.152645,0.2177915,0.0694349,0.0853155,0.1028948
wmf,0.1082394,0.1295772,0.15128,0.1174895,0.1631757,0.223348,0.0911729,0.1056557,0.1194974
expomf,0.0865942,0.106924,0.1269105,0.0939856,0.1377351,0.1932206,0.074343,0.0876369,0.1005059
relmf,0.1085098,0.1303359,0.1512037,0.1196334,0.1669354,0.2249247,0.0908678,0.1056878,0.1190643
bpr,0.1067488,0.128614,0.1498999,0.1185171,0.1653725,0.2244584,0.0897395,0.1041108,0.117158
ubpr,0.1114663,0.1332579,0.1536227,0.1211642,0.1678979,0.2247399,0.0965628,0.1114837,0.1246304
dumf,0.1150665,0.1378704,0.1587982,0.1255568,0.1742869,0.2327176,0.0965939,0.1124082,0.1260187
dubpr,0.0634487,0.0899578,0.1161096,0.0664641,0.1238191,0.1964327,0.0535634,0.0713722,0.0866956

bb-item-user
,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0854458,0.1109223,0.1343302,0.0969048,0.152645,0.2177915,0.0694349,0.0853155,0.1028948
wmf,0.0795103,0.0985144,0.121046,0.0877611,0.1290412,0.1918103,0.0647352,0.0766368,0.0906522
expomf,0.0865942,0.106924,0.1269105,0.0939856,0.1377351,0.1932206,0.074343,0.0876369,0.1005059
relmf,0.1118953,0.1381636,0.1600594,0.1210144,0.1777375,0.2385612,0.0961987,0.1138027,0.1281358
bpr,0.1067488,0.128614,0.1498999,0.1185171,0.1653725,0.2244584,0.0897395,0.1041108,0.117158
ubpr,0.1050999,0.12745,0.1474827,0.1135135,0.161451,0.2172559,0.0905364,0.1057674,0.1192165
dumf,0.1129797,0.1378999,0.1582679,0.122368,0.1752434,0.2316872,0.0953298,0.112471,0.1257224
dubpr,0.1068973,0.1278537,0.1482951,0.1159514,0.1609901,0.2179309,0.092031,0.1064036,0.1197893

bb-item
,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0854458,0.1109223,0.1343302,0.0969048,0.152645,0.2177915,0.0694349,0.0853155,0.1028948
wmf,0.1079532,0.1325796,0.1545609,0.1175772,0.1705731,0.2321909,0.0939382,0.1107747,0.1249241
expomf,0.0865942,0.106924,0.1269105,0.0939856,0.1377351,0.1932206,0.074343,0.0876369,0.1005059
relmf,0.1133528,0.1371845,0.1579313,0.1218358,0.1732809,0.231052,0.0978467,0.1142252,0.1280635
bpr,0.1067488,0.128614,0.1498999,0.1185171,0.1653725,0.2244584,0.0897395,0.1041108,0.117158
ubpr,0.1081469,0.1299236,0.15017,0.116759,0.1635196,0.2198692,0.0910975,0.1060289,0.1191269
dumf,0.1133849,0.1368594,0.1578223,0.1239098,0.1740883,0.2323524,0.0957595,0.1118069,0.1254467
dubpr,0.1091558,0.1279702,0.1497817,0.118374,0.1588329,0.2192478,0.0914884,0.1038733,0.1185171
